Date,Sharpe,HRP,Sortino,SPY
2023-12-01,103265.11261717748,115685.79711053606,103822.31694996443,121893.72281127624
2023-12-04,103207.5602089363,115455.57332404685,103779.22447337817,121253.87454984988
2023-12-05,102389.8334737538,115002.58256770401,103117.67804394459,121229.96686361234
2023-12-06,101566.64092012012,114257.35588270905,102253.22785899081,120741.43920927403
2023-12-07,101141.97263064954,114448.79417253668,101835.78584426807,121662.73778116594
2023-12-08,101289.94146267445,114500.15630930051,102038.36397043738,122185.79783125505
2023-12-11,101366.27009469575,114585.27620126704,102149.98617481683,122661.04250886911
2023-12-12,101216.03171008751,114913.07998640579,102037.59058311001,123221.26814392746
2023-12-13,101948.3009867431,116040.55628127774,102710.54905656607,124920.48604493293
2023-12-14,101728.38214184302,115718.02739004302,102570.8267489017,125321.40791193933
2023-12-15,101014.88864826123,115450.57230541605,101853.0782572173,125115.06618918155
2023-12-18,101304.16307586046,115959.5474926282,102110.81884598294,125818.85497229703
2023-12-19,101788.75228181297,116438.85838846196,102630.48000062577,126583.94272855234
2023-12-20,100015.79513362417,114761.48362147473,100830.44474435727,124829.83746117078
2023-12-21,100634.10837208007,115498.01618118514,101452.71878421851,126013.45183520736
2023-12-22,100870.5891305574,115700.44838363629,101659.24947549893,126266.69776337729
2023-12-26,101076.85311630246,115985.78293132411,101848.76018341156,126799.86424446681
2023-12-27,101138.43958850211,116028.18856031462,101908.28596180979,127029.12725242155
2023-12-28,100925.19568536771,116020.95014388561,101714.24487860141,127077.12653017536
2023-12-29,100971.65061645441,116033.28114844338,101718.9164491149,126709.24909802803
2024-01-02,103110.71358411106,117048.56883556298,103880.30570787186,126000.11870249794
2024-01-04,103100.8432287393,116512.68935389396,103767.5364392551,124568.5665753826
2024-01-05,104128.96944380463,116579.12613915771,104756.73029417379,124739.19723673943
2024-01-08,106784.45683033347,117550.0878630253,107383.56187395874,126519.96876953977
2024-01-09,107158.24211044623,117508.3216144672,107685.38410915069,126328.0301738405
2024-01-10,108996.7436139931,117966.94972071053,109466.58853143617,127042.46038513094
2024-01-11,109443.46375947364,117801.68007772518,109918.71516645119,126986.48630574405
2024-01-12,109871.6693003223,117740.26368951074,110409.33171181589,127074.45154430263
2024-01-16,109686.50858149264,117040.5379668314,110187.64498179014,126607.93400809838
2024-01-17,109330.6994488657,116792.39451913004,109701.23708823045,125904.1619436446
2024-01-18,110348.68313880313,117594.74070296079,110886.8581640786,127023.80235866866
2024-01-19,112438.86017963574,118811.74493510256,113325.65927981875,128607.30204268593
2024-01-22,112648.44124908478,119214.45990304266,113470.42111692349,128879.2227159799
2024-01-23,113132.01290312014,119817.15025671365,113873.09435635475,129255.10002775282
2024-01-24,114611.7488241508,120702.29691424244,115342.58355493931,129396.39779714898
2024-01-25,114579.20728295494,121050.31820452848,114936.08387559846,130100.1615022719
2024-01-26,114980.89621038779,121237.9601484703,115165.80367981196,129934.88917199141
2024-01-29,116565.50491108089,121964.24421112698,116804.5578340589,130963.88936258416
2024-01-30,116673.8280993773,122509.40749385691,116826.19390182021,130862.59935064704
2024-01-31,114948.05572965354,120707.45157983797,114989.56419881394,128727.26679974707
2024-02-01,116730.63192835503,121599.89193702307,116878.28578470474,130412.07321436319
2024-02-02,124756.25842215981,123171.84310142323,124800.94659799492,131784.96791688804
2024-02-05,126747.42531457734,123231.85467511922,126766.7775461325,131305.10888864353
2024-02-06,126039.94521329054,123768.99883411166,125985.76248085547,131686.33617216194
2024-02-07,129142.33352204536,125145.13807801816,129172.22632602423,132784.6602935127
